row_type,timestamp,green,red,ir,accX,accY,accZ,gyroX,gyroY,gyroZ,temp0,temp1,temp2,hr,bp_sys,bp_dia,spo2,resp_rate,metrics_source,gesture_event,gesture_gyro_mag,gesture_accel_delta,voice_session_id,voice_trigger,voice_transcript,voice_confidence,voice_started_at,voice_ended_at,voice_duration_sec,audio_file,audio_mime_type,rms_mean,rms_std,rms_max,zcr_mean,silence_ratio,pause_count,total_pause_sec,longest_pause_sec,pitch_mean_hz,pitch_std_hz,pitch_min_hz,pitch_max_hz,word_count,speech_rate_wpm,negative_word_count,positive_word_count,uncertainty_word_count,cognitive_word_count,first_person_count,sentiment_score,linguistic_stress_score,linguistic_cognitive_load_score,emotional_load_score,stress_score,cognitive_load_score,voice_emotional_load_score,emotion_label,voice_state_label
ring,1779932703.7826445,11432295,8439813,8511684,-92,975,-116,10,-26,15,2780,2785,2814,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.7826445,11433078,8439802,8511801,-88,975,-118,10,-26,15,2780,2785,2814,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.7826445,11433386,8439744,8511858,-91,975,-119,10,-26,14,2780,2785,2814,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.7826445,11433991,8440447,8512595,-90,974,-117,10,-26,14,2780,2785,2814,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.7826445,11434084,8440639,8512464,-90,975,-116,10,-26,15,2780,2785,2814,,,,,,buffering 5/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.9958403,11434068,8439927,8512010,-90,973,-118,10,-26,15,2780,2785,2814,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.9958403,11434127,8439885,8512000,-91,975,-115,10,-26,15,2780,2785,2814,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.9958403,11434273,8439818,8512101,-90,975,-116,10,-26,15,2780,2785,2814,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.9958403,11434393,8440466,8512641,-89,975,-117,10,-26,15,2780,2785,2814,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932703.9958403,11434111,8440748,8512317,-89,973,-119,10,-26,15,2780,2785,2814,,,,,,buffering 10/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.1856363,11434554,8439876,8512058,-91,978,-118,10,-26,15,2780,2785,2814,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.1856363,11434409,8439838,8512003,-91,974,-117,10,-26,15,2780,2785,2814,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.1856363,11434579,8439784,8512393,-90,974,-117,10,-26,15,2780,2785,2814,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.1856363,11434375,8440411,8512648,-89,974,-119,10,-26,15,2780,2785,2814,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.1856363,11434409,8440715,8512165,-91,973,-117,10,-26,15,2780,2785,2814,,,,,,buffering 15/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.3762546,11434418,8439927,8512040,-91,973,-117,10,-26,15,2780,2785,2814,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.3762546,11434461,8439832,8512053,-91,975,-117,10,-26,15,2780,2785,2814,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.3762546,11434666,8439783,8512565,-90,974,-118,10,-26,15,2780,2785,2814,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.3762546,11434536,8440418,8512722,-90,974,-119,10,-26,15,2780,2785,2814,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.3762546,11434665,8440783,8512078,-90,973,-117,10,-26,15,2780,2785,2814,,,,,,buffering 20/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.5905757,11434571,8439958,8512086,-91,974,-117,10,-26,15,2780,2785,2814,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.5905757,11434486,8439910,8511914,-90,975,-117,10,-26,15,2780,2785,2814,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.5905757,11434691,8439730,8512779,-90,975,-119,10,-26,15,2780,2785,2814,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.5905757,11434478,8440414,8512710,-91,973,-117,10,-26,15,2780,2785,2814,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.5905757,11434393,8440783,8512178,-91,976,-115,10,-26,15,2780,2785,2814,,,,,,buffering 25/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.7808027,11434400,8439907,8511981,-89,975,-118,10,-26,15,2780,2785,2814,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.7808027,11434571,8439835,8511939,-89,974,-119,10,-26,15,2780,2785,2814,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.7808027,11434631,8439718,8512737,-90,975,-118,10,-26,15,2780,2785,2814,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.7808027,11434698,8440401,8512790,-92,976,-117,10,-26,15,2780,2785,2814,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.7808027,11434298,8440751,8512141,-92,974,-116,10,-26,15,2780,2785,2814,,,,,,buffering 30/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.9936423,11434461,8439886,8512048,-92,976,-116,10,-26,15,2780,2785,2814,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.9936423,11434444,8439851,8511909,-89,972,-119,10,-26,15,2780,2785,2814,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.9936423,11434539,8439747,8512635,-90,975,-120,10,-26,15,2780,2785,2814,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.9936423,11434691,8440432,8512810,-91,973,-117,10,-26,15,2780,2785,2814,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932704.9936423,11434375,8440651,8512123,-92,974,-116,10,-26,15,2780,2785,2814,,,,,,buffering 35/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932705.183861,11434607,8439934,8512023,-91,976,-116,10,-26,15,2780,2785,2814,,,,,,buffering 40/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932705.183861,11434359,8439874,8511910,-90,974,-118,10,-26,15,2780,2785,2814,,,,,,buffering 40/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ring,1779932705.183861,11434698,8439780,8512625,-91,976,-119,10,-26,15,2780,2785,2814,,,,,,buffering 40/750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
